IdCliente;Ciudad;Antiguedad;PlanInternacional;BuzonDeVoz;PromMinUsadosDia;PromNumLlamadasDia;PromMinUsadosTarde;PromNumLlamadasTarde;PromMinUsadosNoche;PromNumLlamadasNoche;TotalMinsIntnl;TotalLlamadasIntnl;TotalLlamadasCallCenter;Estado
1;NY;86;No;No;70.7;125;211.0;113;174.6;107;0.0;0.0;2;Vinculado
2;VT;165;No;No;242.9;126;209.8;65;228.4;126;0.0;0.0;1;Vinculado
3;KS;70;No;No;222.8;114;215.9;113;223.5;122;0.0;0.0;1;Vinculado
4;NM;158;No;No;172.4;114;256.6;69;235.3;104;0.0;0.0;2;Vinculado
5;ND;101;No;No;217.7;118;;128;185.3;128;0.0;0.0;3;Vinculado
6;OH;114;No;No;191.5;88;175.2;78;220.3;118;0.0;0.0;0;Vinculado
7;SC;84;No;No;204.1;132;164.4;117;165.1;123;0.0;0.0;1;Vinculado
8;MN;44;No;No;207.2;90;178.6;76;182.0;74;0.0;0.0;0;Vinculado
9;VA;115;No;No;132.0;90;197.5;75;175.8;114;0.0;0.0;3;Vinculado
10;MS;78;No;No;131.6;102;290.4;134;190.5;95;0.0;0.0;3;Vinculado
11;KS;70;No;No;232.1;122;292.3;112;201.2;112;0.0;0.0;3;Vinculado
12;MA;58;No;No;174.4;112;265.8;122;182.4;87;0.0;0.0;4;Vinculado
13;VT;137;;No;97.5;95;195.8;82;288.8;78;0.0;0.0;1;
14;FL;98;No;No;288.1;101;137.9;93;206.5;88;0.0;0.0;0;Vinculado
15;CA;127;No;No;107.9;128;187.0;77;218.5;95;0.0;0.0;0;Vinculado
16;NY;138;Si;No;261.1;96;170.9;120;71.1;89;0.0;0.0;3;Retirado
17;WI;62;No;No;281.0;66;160.6;108;77.9;74;0.0;0.0;1;Vinculado
18;MO;106;No;No;114.4;104;78.3;101;232.7;78;0.0;0.0;2;Vinculado
19;AL;74;No;No;207.1;79;182.0;100;233.7;73;7.4;7.4;1;Vinculado
20;NE;127;Si;No;180.9;114;209.5;118;249.9;105;7.4;7.4;2;Vinculado
21;AL;26;No;No;290.1;143;245.7;97;147.0;80;7.4;7.4;2;Retirado
22;MN;79;No;No;121.3;112;282.8;107;123.1;83;7.4;7.4;1;Vinculado
23;WA;63;No;No;211.7;107;271.7;77;203.3;108;7.4;7.4;0;Vinculado
24;WA;45;No;No;78.6;106;187.3;110;184.2;111;7.4;7.4;1;Retirado
25;KS;119;No;No;231.5;82;266.9;97;211.0;118;7.4;7.4;1;Vinculado
26;NJ;115;No;No;156.8;104;264.7;84;249.0;112;7.4;7.4;0;Vinculado
27;IN;113;No;No;209.4;151;347.3;113;246.0;116;7.4;7.4;1;Retirado
28;MN;96;No;No;208.1;93;189.2;107;279.6;90;7.4;7.4;1;Vinculado
29;NY;117;No;No;144.6;115;258.8;66;253.2;113;7.4;7.4;2;Vinculado
30;VT;152;No;No;197.1;126;130.1;76;78.1;100;7.4;7.4;3;Vinculado
31;OH;125;No;No;214.7;115;260.6;94;266.3;123;7.4;7.4;3;Vinculado
32;DE;87;No;No;256.2;105;160.7;102;249.4;80;7.4;7.4;4;Vinculado
33;VT;159;No;No;275.8;103;;108;223.9;93;7.4;7.4;2;Retirado
34;NH;114;No;No;169.6;85;58.9;86;179.3;124;7.4;7.4;1;Vinculado
35;MS;107;No;No;220.1;103;200.4;94;272.6;147;7.4;7.4;2;Vinculado
36;ID;60;No;No;221.1;106;178.6;48;202.7;90;7.4;7.4;1;Vinculado
37;WV;59;No;No;189.7;100;115.9;133;220.6;115;7.4;7.4;0;Vinculado
38;DE;142;No;No;187.0;133;134.6;74;242.2;127;7.4;7.4;2;Vinculado
39;CT;120;Si;No;202.0;123;184.3;78;176.0;89;7.4;7.4;2;Retirado
40;CO;49;No;No;172.0;142;224.0;100;177.3;86;7.4;7.4;0;Vinculado
41;HI;146;;No;189.3;77;155.9;128;186.0;83;7.4;7.4;0;
42;MO;120;No;No;79.2;123;212.1;106;224.6;104;10.2;10.2;3;Vinculado
43;MN;139;No;No;134.4;106;211.3;98;193.6;125;10.2;10.2;5;Retirado
44;WV;93;No;No;141.7;95;221.0;100;227.1;71;10.2;10.2;0;Vinculado
